,acqdate,median,iqr,n,dan_depth,atl06-dan_diff,atl06-dan_percent,cdec_mean,atl06-cdec_mean
2019-07-09,2019-07-09,-0.032246304687532756,0.3737053613488115,67,,,,,
2019-12-11,2019-12-11,0.5433986554023704,1.2615527355719678,1307,,,,,
2020-02-11,2020-02-11,0.7063254151823912,0.7449141811357549,487,,,,,
2020-10-06,2020-10-06,-0.1160805656327284,0.35336497030584724,26,0.0,-0.1160805656327284,-inf,0.0,-inf
2020-12-08,2020-12-08,0.7189642366518001,2.2071870354970997,181,0.3556,0.36336423665180007,102.18341863098989,0.3048,135.8806550694882
2021-02-02,2021-02-02,1.589671630788871,0.5236771984516508,42,2.1336,-0.543928369211129,-25.493455624818566,1.7526,-9.296380760648692
2021-02-08,2021-02-08,0.8369684842102743,0.8398171359558546,1273,1.7272,-0.8902315157897258,-51.54188952001655,1.4351,-41.678734289577434
2021-04-05,2021-04-05,0.9101822722959696,0.56667510158195,276,1.651,-0.7408177277040304,-44.87084964894188,1.1684,-22.1001136343744
2021-06-08,2021-06-08,-0.1404885477015796,0.9103474160060614,99,0.0,-0.1404885477015796,-inf,0.0381,-468.73634567343726
2021-11-07,2021-11-07,0.8686419929040312,2.12899306720783,90,0.127,0.7416419929040312,583.9700731527805,0.1016,754.9625914409755
2022-04-03,2022-04-03,0.5665225140946859,0.704490938110439,320,0.8382000000000001,-0.27167748590531415,-32.41201215763709,0.5334,6.209695180856003
2022-06-06,2022-06-06,-0.1300663503332089,1.112506286298185,863,0.0,-0.1300663503332089,-inf,0.0381,-441.38149693755616
