,acqdate,median,iqr,n,muck_depth,atl06-muck_diff,atl06-muck_percent,snotel_mean,atl06-snotel_mean,atl06-snotel_mean_percent,snow_presence
2018-11-09,2018-11-09,0.15597137589264776,0.9067445941284404,1217.0,0.0,0.15597137589264776,inf,0.0,0.15597137589264776,inf,0.0
2018-11-20,2018-11-20,0.06248752816003389,1.4903377499121007,4851.0,0.0,0.06248752816003389,inf,0.0,0.06248752816003389,inf,0.0
2019-02-19,2019-02-19,0.2559725147968379,1.2042577515128414,4955.0,0.6858,-0.42982748520316205,-62.675340507897644,0.6731,-0.4171274852031621,-61.971101649556104,1.0
2019-05-10,2019-05-10,-0.05186533903901136,1.1121436704096368,852.0,0.0,-0.05186533903901136,-inf,0.0,-0.05186533903901136,-inf,0.0
2019-08-09,2019-08-09,-0.15111978202577347,1.9448888795843686,583.0,0.0,-0.15111978202577347,-inf,0.0,-0.15111978202577347,-inf,0.0
2019-08-19,2019-08-19,1.9412264551310159,1.9405623609354734,5.0,0.0,1.9412264551310159,inf,0.0,1.9412264551310159,inf,0.0
2019-11-08,2019-11-08,0.0026984776345102546,1.2631886899648634,419.0,0.0,0.0026984776345102546,inf,0.0,0.0026984776345102546,inf,0.0
2019-11-18,2019-11-18,0.10741829731654207,0.011631711023483149,3.0,0.0,0.10741829731654207,inf,0.0,0.10741829731654207,inf,0.0
2020-02-17,2020-02-17,0.31853361212500886,1.3599321983140271,5943.0,0.4826,-0.16406638787499112,-33.99635057500852,0.5460999999999999,-0.22756638787499106,-41.67119353140287,1.0
2020-05-07,2020-05-07,-0.1338014311689335,0.27597483575959814,5.0,0.0,-0.1338014311689335,-inf,0.0,-0.1338014311689335,-inf,0.0
2020-05-18,2020-05-18,-0.06131468120571526,1.4301404133866527,2526.0,0.0,-0.06131468120571526,-inf,0.0,-0.06131468120571526,-inf,0.0
2020-08-06,2020-08-06,0.008057617379051862,0.7699373126866931,340.0,0.0,0.008057617379051862,inf,0.0,0.008057617379051862,inf,0.0
2020-11-15,2020-11-15,0.08270152842868583,1.1114553282302495,1955.0,0.1016,-0.018898471571314163,-18.600857845781658,0.1016,-0.018898471571314163,-18.600857845781658,0.0
2021-02-04,2021-02-04,0.42962596578439616,1.6286309286865617,3280.0,0.9905999999999999,-0.5609740342156038,-56.62972281603107,1.0668,-0.6371740342156038,-59.72759975774314,1.0
2021-05-16,2021-05-16,0.1560461015703254,0.7735110037582444,522.0,0.0,0.1560461015703254,inf,0.0,0.1560461015703254,inf,0.0
2021-08-15,2021-08-15,-0.17577880980462623,1.1994952271692227,1518.0,0.0,-0.17577880980462623,-inf,0.0,-0.17577880980462623,-inf,0.0
2021-11-03,2021-11-03,0.35213596894146804,0.30685112401170045,30.0,0.0,0.35213596894146804,inf,0.0,0.35213596894146804,inf,0.0
2022-02-13,2022-02-13,0.07785626772505339,1.4624797567505539,3559.0,0.3302,-0.2523437322749466,-76.42148160961436,0.381,-0.3031437322749466,-79.56528406166578,1.0
