,acqdate,median,iqr,n,salm_depth,atl06-salm_diff,atl06-salm_percent,snotel_mean,atl06-snotel_mean,atl06-snotel_mean_percent,snow_presence
2018-11-09,2018-11-09,0.15396153283819558,0.9025988588024347,1212.0,0.0,0.15396153283819558,inf,0.0,0.15396153283819558,inf,0.0
2018-11-20,2018-11-20,0.045474592020184446,1.3340131709184107,3778.0,0.0,0.045474592020184446,inf,0.0,0.045474592020184446,inf,0.0
2019-02-19,2019-02-19,0.22392550488979168,1.2002829483401456,4197.0,0.6604,-0.4364744951102083,-66.0924432329207,0.6731,-0.44917449511020835,-66.73220845494107,1.0
2019-05-10,2019-05-10,-0.1044882297015306,1.0720003949080592,751.0,0.0,-0.1044882297015306,-inf,0.0,-0.1044882297015306,-inf,0.0
2019-11-18,2019-11-18,0.10741829731654207,0.011631711023483149,3.0,0.0,0.10741829731654207,inf,0.0,0.10741829731654207,inf,0.0
2020-02-17,2020-02-17,0.27082376258209706,1.3401175644779642,4144.0,0.6095999999999999,-0.33877623741790286,-55.57352976015467,0.5460999999999999,-0.27527623741790286,-50.407661127614524,1.0
2020-05-07,2020-05-07,-0.07700077454097709,0.44161831443580013,13.0,0.0,-0.07700077454097709,-inf,0.0,-0.07700077454097709,-inf,0.0
2020-05-18,2020-05-18,-0.07327562243034436,1.2790896735062915,1860.0,0.0,-0.07327562243034436,-inf,0.0,-0.07327562243034436,-inf,0.0
2020-08-06,2020-08-06,0.008057617379051862,0.7699373126866931,340.0,0.0,0.008057617379051862,inf,0.0,0.008057617379051862,inf,0.0
2020-11-15,2020-11-15,0.07284661153215666,1.097465527971849,1907.0,0.1016,-0.028753388467843338,-28.30057920063321,0.1016,-0.028753388467843338,-28.30057920063321,0.0
2021-02-04,2021-02-04,0.4844751571746997,1.5845336805093666,2733.0,1.143,-0.6585248428253003,-57.61372203195978,1.0668,-0.5823248428253003,-54.58613074852834,1.0
2021-05-16,2021-05-16,0.1560461015703254,0.7735110037582444,522.0,0.0,0.1560461015703254,inf,0.0,0.1560461015703254,inf,0.0
2021-08-15,2021-08-15,-0.23300091820300395,1.1566130490648447,1218.0,0.0,-0.23300091820300395,-inf,0.0,-0.23300091820300395,-inf,0.0
2021-11-03,2021-11-03,0.35213596894146804,0.30685112401170045,30.0,0.0,0.35213596894146804,inf,0.0,0.35213596894146804,inf,0.0
2022-02-13,2022-02-13,0.05082839192124311,1.5386755215708945,2552.0,0.43179999999999996,-0.38097160807875685,-88.22871886955926,0.381,-0.3301716080787569,-86.65921471883384,1.0
