,acqdate,median,iqr,n,tum_depth,atl06-tum_diff,atl06-tum_percent,cdec_mean,atl06-cdec_mean
2018-11-13,2018-11-13,-0.2762871858742528,0.45961315255453883,3,0.0,-0.2762871858742528,-inf,-0.0127,2075.489652553172
2019-04-10,2019-04-10,2.318431169246878,1.3389125365920336,1284,2.032,0.28643116924687817,14.09602210860621,,
2019-05-14,2019-05-14,1.0659482265384668,1.0751314604908657,925,0.4064,0.6595482265384668,162.29041007344162,0.7746999999999999,37.59496921885464
2019-07-09,2019-07-09,0.08623975200475797,0.7439078952224918,124,0.0,0.08623975200475797,inf,,
2019-12-11,2019-12-11,0.412815534127958,0.6548663475289231,131,0.7112,-0.29838446587204204,-41.95507112936473,,
2020-01-07,2020-01-07,0.5779654111117907,0.7031003418849195,1754,0.6858,-0.10783458888820929,-15.72391205719004,,
2020-02-05,2020-02-05,0.5685579595462968,0.6577499042700765,1729,0.7365999999999999,-0.16804204045370308,-22.81320125627248,0.9017,-36.94599539244795
2020-02-11,2020-02-11,0.5969932370878723,0.5829046840642604,1286,0.7365999999999999,-0.1396067629121276,-18.952859477617107,,
2020-03-09,2020-03-09,0.4538431287521689,0.7081960468960915,2190,0.33020000000000005,0.12364312875216887,37.4449208819409,0.6223000000000001,-27.070041981010952
2020-04-07,2020-04-07,1.156480389702665,0.9780126370073958,1344,0.7112,0.4452803897026649,62.60972858586402,,
2020-07-07,2020-07-07,-0.07710938200875717,0.6300096997724722,645,0.0508,-0.12790938200875718,-251.79012206448266,,
2020-08-05,2020-08-05,-0.06093561805596437,0.6994831649394655,1770,0.0254,-0.08633561805596437,-339.90400809434794,0.038099999999999995,-259.93600539623196
2020-08-10,2020-08-10,-0.07219770308870466,0.502238249705897,502,0.0508,-0.12299770308870465,-242.12146277304066,0.0508,-242.12146277304066
2020-10-06,2020-10-06,-0.16725313188157998,0.4165637922640144,187,0.0,-0.16725313188157998,-inf,0.0,-inf
2020-11-09,2020-11-09,0.16612280460935835,0.798670244231289,462,,,,,
2021-02-08,2021-02-08,0.7819187632560443,0.6595962899143615,839,1.143,-0.36108123674395576,-31.59065938267329,1.4351,-45.514684464076076
2021-04-05,2021-04-05,0.7853482397188145,0.5870279558325819,142,0.6858,0.09954823971881455,14.51563717101408,1.1684,-32.78429992136131
2021-07-05,2021-07-05,-0.01387190961372653,0.8159425525198003,1259,0.1016,-0.11547190961372653,-113.65345434421903,0.0508,-127.30690868843806
2021-08-08,2021-08-08,-0.19387867571253992,0.41593288908552495,73,0.1016,-0.29547867571253994,-290.8254682210039,,
2021-11-07,2021-11-07,0.2491098720508944,0.8558631599253204,153,0.0762,0.17290987205089442,226.9158425864756,0.1016,145.1868819398567
2022-01-03,2022-01-03,1.5944697749316674,1.012148382729265,1053,1.6256,-0.031130225068332518,-1.9149990814673057,1.7526000000000002,-9.022607843679832
2022-02-06,2022-02-06,0.9122107744960886,0.9490781662511836,1538,1.0922,-0.1799892255039115,-16.479511582485944,1.2192,-25.179562459310322
2022-04-03,2022-04-03,0.4266890296660222,0.7006659543594651,149,0.2286,0.19808902966602218,86.65311883902983,0.5334,-20.00580621184436
